"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\heavysnow.svg", "XML", 0, 0, 0, 0, 18, 0, 0, 2, 20
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\heavysnowandthunder.svg", "XML", 0, 0, 0, 0, 30, 0, 0, 1, 31
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\heavysnowshowers_day.svg", "XML", 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\heavysnowshowers_night.svg", "XML", 0, 0, 0, 0, 37, 0, 0, 1, 38
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\heavysnowshowers_polartwilight.svg", "XML", 0, 0, 0, 0, 53, 0, 0, 1, 54
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\heavysnowshowersandthunder_day.svg", "XML", 0, 0, 0, 0, 54, 0, 0, 1, 55
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\heavysnowshowersandthunder_night.svg", "XML", 0, 0, 0, 0, 47, 0, 0, 1, 48
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\heavysnowshowersandthunder_polartwilight.svg", "XML", 0, 0, 0, 0, 63, 0, 0, 1, 64
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightrain.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightrainandthunder.svg", "XML", 0, 0, 0, 0, 27, 0, 0, 1, 28
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightrainshowers_day.svg", "XML", 0, 0, 0, 0, 41, 0, 0, 1, 42
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightrainshowers_night.svg", "XML", 0, 0, 0, 0, 34, 0, 0, 1, 35
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightrainshowers_polartwilight.svg", "XML", 0, 0, 0, 0, 50, 0, 0, 1, 51
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightrainshowersandthunder_day.svg", "XML", 0, 0, 0, 0, 51, 0, 0, 1, 52
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightrainshowersandthunder_night.svg", "XML", 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightrainshowersandthunder_polartwilight.svg", "XML", 0, 0, 0, 0, 60, 0, 0, 1, 61
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightsleet.svg", "XML", 0, 0, 0, 0, 18, 0, 0, 2, 20
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightsleetandthunder.svg", "XML", 0, 0, 0, 0, 30, 0, 0, 1, 31
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightsleetshowers_day.svg", "XML", 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightsleetshowers_night.svg", "XML", 0, 0, 0, 0, 37, 0, 0, 1, 38
